,count,unique,top,freq,mean,std,min,25%,50%,75%,max
participant_id,140,28,P001,5,,,,,,,
date,140,5,2025-09-22,28,,,,,,,
kss_morning,140.0,,,,4.985714285714286,2.5303502026391307,1.0,3.0,5.0,7.0,9.0
kss_afternoon,140.0,,,,4.121428571428571,1.9359077849153319,1.0,3.0,4.0,5.0,9.0
kss_evening,140.0,,,,4.435714285714286,1.9386664343510314,1.0,3.0,4.0,6.0,9.0
sleep_onset_time,140,51,01:30,19,,,,,,,
wake_time,140,47,07:30,15,,,,,,,
